127.0.0.1 - - [12/Sep/2024:17:44:54 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:44:54 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:44:55 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:25 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:30 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:31 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:31 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:31 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:32 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:32 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:32 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:32 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:32 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:33 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:33 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:33 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:33 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:34 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Sep/2024:17:50:34 +0530] "GET /loginServletProject/ HTTP/1.1" 404 776
